REAR_FORCE_X,REAR_FORCE_Y,REAR_FORCE_Z,REAR_COFP_X,REAR_COFP_Y,REAR_COFP_Z,REAR_FREEMOMENT_Z,LEAD_FORCE_X,LEAD_FORCE_Y,LEAD_FORCE_Z,LEAD_COFP_X,LEAD_COFP_Y,LEAD_COFP_Z,LEAD_FREEMOMENT_Z,kh_time,fc_time,mer_time,br_time,mir_time,lead_peak_z,lead_valley_y
-3.215377632250805e-113,4.7436771452009586e-114,-2.974024248866848e-112,,,,3.107635491575548e-112,-2.389132884061248e-168,7.23820460315614e-169,1.3825706498511977e-169,,,,1.0879290879450342e-169,3612,4380,4482,4518,4524,4401,4477
-2.2436595741257683e-112,-4.2929576686407496e-113,-1.456275908224993e-112,,,,5.063484237526731e-112,-3.6819460846803463e-168,-1.3936556171510163e-168,3.282856615457814e-168,,,,8.862317112892353e-170,3612,4380,4482,4518,4524,4401,4477
-4.405221981187655e-112,-9.729356576397907e-113,4.4140180527934476e-113,,,,7.0985707390389405e-112,-5.007327846256772e-168,-3.838650532540746e-168,6.842110874763001e-168,,,,5.930860323588255e-170,3612,4380,4482,4518,4524,4401,4477
-6.724768464694545e-112,-1.5642909181929542e-112,2.680352801243982e-112,,,,9.107903032804613e-112,-6.293215275763439e-168,-6.529999947892912e-168,1.0685839690765877e-167,,,,2.0812178250200213e-170,3612,4380,4482,4518,4524,4401,4477
-9.095731917191694e-112,-2.1776328376431548e-112,5.194258546121104e-112,,,,1.0967686498191534e-111,-7.455930017167876e-168,-9.35626028875993e-168,1.464184068750509e-167,,,,-2.636738912246525e-170,3612,4380,4482,4518,4524,4401,4477
-1.1387874623155477e-111,-2.7809518278704184e-112,7.887704188830476e-112,,,,1.2539003630817114e-111,-8.402877383458873e-168,-1.2176436459932471e-167,1.8497936226069067e-167,,,,-8.112141629360574e-170,3612,4380,4482,4518,4524,4401,4477
-1.3450406613344231e-111,-3.336634183814484e-112,1.0636187523868116e-111,,,,1.367310037973403e-111,-9.036295224937005e-168,-1.4822597777852462e-167,2.200678031618092e-167,,,,-1.4167872345623022e-169,3612,4380,4482,4518,4524,4401,4477
-1.5116922927845765e-111,-3.8026012214046466e-112,1.328784958182636e-111,,,,1.4218277490671028e-111,-9.258034087889645e-168,-1.710459298465195e-167,2.489367555365425e-167,,,,-2.0558210753992033e-169,3612,4380,4482,4518,4524,4401,4477
-1.6212219978532171e-111,-4.133932949579286e-112,1.5667157811088567e-111,,,,1.4028290094610701e-111,-8.975285668145784e-168,-1.8816991914651348e-167,2.6867520592725973e-167,,,,-2.6970082528356366e-169,3612,4380,4482,4518,4524,4401,4477
-1.6560951745624913e-111,-4.284974072354225e-112,1.758070207306605e-111,,,,1.2972050868697249e-111,-8.107104425576586e-168,-1.9748274422008854e-167,2.763484688779645e-167,,,,-3.3028531834970453e-169,3612,4380,4482,4518,4524,4401,4477
-1.5997970155008548e-111,-4.211891170755063e-112,1.8825169763362605e-111,,,,1.0944315395377212e-111,-6.591490294690408e-168,-1.9692158290636285e-167,2.6916712786567003e-167,,,,-3.8306912233100173e-169,3612,4380,4482,4518,4524,4401,4477
-1.438006426677504e-111,-3.8756172064452296e-112,1.9197450360219255e-111,,,,7.876908054717909e-112,-4.392722324096791e-168,-1.846081041085628e-167,2.4468009208438445e-167,,,,-4.2342106828173844e-169,3612,4380,4482,4518,4524,4401,4477
-1.159867495096316e-111,-3.24508422477646e-112,1.850668417051217e-111,,,,3.7499293216828495e-112,-1.5085581950770682e-168,-1.5899524648357304e-167,2.0098502252396117e-167,,,,-4.465485134870873e-169,3612,4380,4482,4518,4524,4401,4477
-7.593022095754676e-112,-2.30060890503461e-112,1.6587919227302565e-111,,,,-1.3977218023714084e-112,2.0231520421758212e-168,-1.1902282462727333e-167,1.3694704769466069e-167,,,,-4.4774946352020654e-169,3612,4380,4482,4518,4524,4401,4477
-2.3629480181649975e-112,-1.037260365095566e-112,1.3316880149941446e-111,,,,-7.459264983416698e-112,6.118942477087794e-168,-6.427447091302575e-168,5.241444145833061e-168,,,,-4.227081428805446e-169,3612,4380,4482,4518,4524,4401,4477
4.019337275198113e-112,5.319923481967448e-113,8.625190971466062e-112,,,,-1.4253211124616027e-111,1.0645835749109858e-167,4.873108185427069e-169,-5.158207785273671e-168,,,,-3.678249487991188e-169,3612,4380,4482,4518,4524,4401,4477
1.13995160487929e-111,2.3735818401708813e-112,2.5152397138602844e-112,,,,-2.1519630627971664e-111,1.5419620847080329e-167,8.71188744364102e-168,-1.726613820573876e-167,,,,-2.805679347910395e-169,3612,4380,4482,4518,4524,4401,4477
1.9534392126513364e-111,4.431339510562719e-112,-4.92626356344102e-112,,,,-2.8920337297003342e-111,2.0205826876564137e-167,1.801354443030856e-167,-3.069712989520856e-167,,,,-1.5982920921118143e-169,3612,4380,4482,4518,4524,4401,4477
2.808906468410255e-111,6.6254413370062765e-112,-1.3517089840557375e-111,,,,-3.604373503817127e-111,2.4723857132019773e-167,2.8050801280386812e-167,-4.491316051426283e-167,,,,-6.266126992436562e-171,3612,4380,4482,4518,4524,4401,4477
3.6638977274301626e-111,8.852548282148633e-112,-2.2971774489062572e-111,,,,-4.241494345713682e-111,2.8654650837781693e-167,3.837257512228382e-167,-5.922563342258179e-167,,,,1.773958434943131e-169,3612,4380,4482,4518,4524,4401,4477
4.467766472852729e-111,1.0987364290323216e-111,-3.2898510921547713e-111,,,,-4.751162558317194e-111,3.165210245425161e-167,4.842363457590895e-167,-7.280694359838022e-167,,,,3.8612390586712465e-169,3612,4380,4482,4518,4524,4401,4477
5.163084292803112e-111,1.288579418386895e-111,-4.280173072341117e-111,,,,-5.078568573065141e-111,3.3358290772218937e-167,5.75572675822638e-167,-8.471250197200095e-167,,,,6.124288403401311e-169,3612,4380,4482,4518,4524,4401,4477
5.687723625762932e-111,1.4389824463017255e-111,-5.209131855745851e-111,,,,-5.169069093900328e-111,3.3422354860965318e-167,6.50558107239858e-167,-9.391394055890846e-167,,,,8.463322895342467e-169,3612,4380,4482,4518,4524,4401,4477
5.977621559802241e-111,1.5334171952942523e-111,-6.0099201407812475e-111,,,,-4.971450263338237e-111,3.1522606760168152e-167,7.015934807986667e-167,-9.93436995202447e-167,,,,1.075474890149347e-168,3612,4380,4482,4518,4524,4401,4477
5.9701931119898964e-111,1.5554649412045344e-111,-6.6103758869040715e-111,,,,-4.441619769441508e-111,2.739120002827468e-167,7.210246423816788e-167,-9.995056321910723e-167,,,,1.2853861232781582e-168,3612,4380,4482,4518,4524,4401,4477
5.608317899129321e-111,1.4898085843118176e-111,-6.936212521767467e-111,,,,-3.5465926238397296e-111,2.0840390322565562e-167,7.015843752750057e-167,-9.476498113122175e-167,,,,1.4599312347337412e-168,3612,4380,4482,4518,4524,4401,4477
4.84477547709302e-111,1.3233515910057294e-111,-6.915000106793287e-111,,,,-2.268591789613774e-111,1.1789143464153595e-167,6.368970074167964e-167,-8.297220553780486e-167,,,,1.5819430787570263e-168,3612,4380,4482,4518,4524,4401,4477
3.646953951761337e-111,1.0464222533468911e-111,-6.48080743928504e-111,,,,-6.090434288474392e-112,2.8858496224132363e-169,5.220279901895751e-167,-6.399043473320886e-167,,,,1.634037324563499e-168,3612,4380,4482,4518,4524,4401,4477
2.0016063512018106e-111,6.540085771788354e-112,-5.5793585616047935e-111,,,,1.4077898638812713e-111,-1.3455438077772885e-167,3.540546590471228e-167,-3.755031027609014e-167,,,,1.5995983211085375e-168,3612,4380,4482,4518,4524,4401,4477
-8.061723203050266e-113,1.4695671108603886e-112,-4.1734983650677164e-111,,,,3.731822752338741e-111,-2.9064575730163093e-167,1.326285283501282e-167,-3.7713298594480125e-168,,,,1.463910365186788e-168,3612,4380,4482,4518,4524,4401,4477
-2.5611731161560926e-111,-4.669450032857062e-112,-2.2487039533379426e-111,,,,6.285109588367851e-111,-4.597695158205655e-167,-1.3950576614947925e-167,3.676993948786977e-167,,,,1.2153956313866342e-168,3612,4380,4482,4518,4524,4401,4477
-5.370503122161015e-111,-1.1720826004765573e-111,1.8167525482580334e-112,,,,8.961059726036446e-111,-6.344485663715062e-167,-4.560739540880763e-167,8.29854685932937e-167,,,,8.4690621567389e-169,3612,4380,4482,4518,4524,4401,4477
-8.406143328424881e-111,-1.9444247540594742e-111,3.071811036531852e-111,,,,1.1625194664261406e-110,-8.054298478643259e-167,-8.06959814451963e-167,1.3324108539195094e-166,,,,3.57004371873229e-169,3612,4380,4482,4518,4524,4401,4477
