TIME,REAR_FORCE_X,REAR_FORCE_Y,REAR_FORCE_Z,REAR_COFP_X,REAR_COFP_Y,REAR_COFP_Z,REAR_FREEMOMENT_X,REAR_FREEMOMENT_Y,REAR_FREEMOMENT_Z,LEAD_FORCE_X,LEAD_FORCE_Y,LEAD_FORCE_Z,LEAD_COFP_X,LEAD_COFP_Y,LEAD_COFP_Z,LEAD_FREEMOMENT_X,LEAD_FREEMOMENT_Y,LEAD_FREEMOMENT_Z,REAR_MOMENTUM_X,REAR_MOMENTUM_Y,REAR_MOMENTUM_Z,LEAD_MOMENTUM_X,LEAD_MOMENTUM_Y,LEAD_MOMENTUM_Z,REAR_RESULT,LEAD_RESULT,kh_time,fc_time,mer_time,br_time,mir_time
0.0,-5.164889645816891,4.460059331917366,100.71825027858111,0.11449,0.04776,0.00046,-0.008975984666730642,4.9993356341282715e-05,4.589068360665992,-1.1989005399541948e-235,-1.9752253903621352e-235,1.1295220684916434e-235,,,,-2.8269148955426645e-239,-2.1957471177575264e-237,2.8499189673988975e-236,0.0,0.0,0.0,0.0,-0.0,0.0,100.94916618514782,0.0,3270,4110,4236,4278,4272
0.00093,-5.1715023937941575,4.467729906083648,100.69280684133122,0.11409,0.04782,0.00046,-0.009006848161395945,5.0898269251687135e-05,4.604475103534477,-1.1127681071752265e-235,-2.0933248203299846e-235,1.3608873344121731e-235,,,,-8.612621230655313e-239,-6.695414862754305e-237,8.690327696851615e-236,-0.0004715100274749175,0.00040725449777527327,0.009187667487110482,-1.0545023284177925e-239,1.8559302068603712e-239,1.1360376052756196e-239,100.92445886458036,0.0,3270,4110,4236,4278,4272
0.00185,-5.178367130828244,4.475129801608506,100.66944237080376,0.11404,0.04778,0.00046,-0.009034649572128154,5.172906994143866e-05,4.61833048477009,-8.462644929492934e-236,-1.9564856195949425e-235,1.4730756681144996e-235,,,,-1.4945689513666788e-238,-1.1621167014340252e-236,1.5083790313745079e-235,-0.0009385582396430281,0.0008108099849445894,0.01827434034505729,-1.9385353795499833e-239,3.683447665980894e-239,2.4148917497958062e-239,100.90182803166385,0.0,3270,4110,4236,4278,4272
0.00278,-5.18591792198091,4.482140446695116,100.64997252116403,0.11409,0.04775,0.00046,-0.009056374708856278,5.2420536429898524e-05,4.629105421730704,-3.820483070389913e-236,-1.50691254892029e-235,1.414622484904642e-235,,,,-2.111208489815092e-238,-1.6417746604935499e-236,2.1309604882843134e-235,-0.0014113406487544968,0.0012194093032263315,0.027457827434476736,-2.4988486879566393e-239,5.263328691521645e-239,3.7321585777677826e-239,100.8831021340467,0.0,3270,4110,4236,4278,4272
0.0037,-5.194498039688069,4.488699538023721,100.63578388713053,0.11405,0.04781,0.00046,-0.009069620407077787,5.2923637289072745e-05,4.635582269310443,2.7500660709672206e-236,-7.128037310105735e-236,1.1422438885929597e-235,,,,-2.620584119715453e-238,-2.0380583795253316e-236,2.645326538061998e-235,-0.0018797672994407713,0.0016242274283767538,0.03654104847815744,-2.547152325472588e-239,6.264997860003247e-239,4.885970097472311e-239,100.86967944830705,0.0,3270,4110,4236,4278,4272
0.00463,-5.204333929851646,4.494812428428554,100.62769993889546,0.11435,0.04769,0.00046,-0.009072785038643765,5.3210529141185485e-05,4.636952010295713,1.0917964946252397e-235,4.194069114715715e-236,6.29307525751589e-236,,,,-2.9196981568038256e-238,-2.2708603364434478e-236,2.9475003471396412e-235,-0.002354125617979279,0.002034023801994424,0.04572198418810735,-1.9236645885755896e-239,6.398835220188256e-239,5.694089848396791e-239,100.86239351419607,0.0,3270,4110,4236,4278,4272
0.00556,-5.215527546883652,4.500551851752689,100.62592141324346,0.1144,0.04758,0.00046,-0.009065153111217824,5.3276427913579045e-05,4.632857269782916,2.003079151098313e-235,1.8344262080798192e-235,-1.2545608401233411e-236,,,,-2.903710646770926e-238,-2.258633033640239e-236,2.9316358325480376e-235,-0.002829443229032775,0.0024443608366813115,0.0549024700065172,-5.118906396441045e-240,5.370715435208095e-239,5.923929241317779e-239,100.8614532654912,0.0,3270,4110,4236,4278,4272
0.00648,-5.228065435860553,4.506045975956453,100.63003958017964,0.11377,0.04768,0.00046,-0.00904687182549156,5.313828082536875e-05,4.623379931762653,2.9108482999061312e-235,3.4210592211925696e-235,-1.0901382609623186e-235,,,,-2.4799340602034498e-238,-1.9292723596503454e-236,2.5041438602995343e-235,-0.00330072080597209,0.002850792570254514,0.0639843465023064,1.7055682618961612e-239,2.9991250803946377e-239,5.375380137204517e-239,100.86645619058694,0.0,3270,4110,4236,4278,4272
0.00741,-5.2418415846423505,4.511457573254577,100.63911419769799,0.11398,0.04752,0.00046,-0.009018833218125234,5.283076854495273e-05,4.608980242283225,3.68806649859083e-235,5.010803557311263e-235,-2.1940873998151054e-235,,,,-1.5843565861600758e-238,-1.2329683962554091e-236,1.6003721445335716e-235,-0.0037783213195728606,0.0032621395209070994,0.07316554085561496,4.715762230952529e-239,-8.471956039615648e-240,3.877231338655982e-239,100.87646632952136,0.0,3270,4110,4236,4278,4272
0.00833,-5.25668967775581,4.516958697943841,100.65180675109615,0.11486,0.04768,0.00046,-0.008982485451106444,5.240049647273094e-05,4.59039950679756,4.18755128210083e-235,6.383973360739742e-235,-3.326044838503856e-235,,,,-1.991625351789986e-239,-1.558328302458638e-237,2.022931852493538e-236,-0.00425207804131984,0.0036695558335612,0.08224899495435024,8.26971351066745e-239,-5.989202636001265e-239,1.3862164647921655e-239,100.89014770782704,0.0,3270,4110,4236,4278,4272
