TIME,REAR_FORCE_X,REAR_FORCE_Y,REAR_FORCE_Z,REAR_COFP_X,REAR_COFP_Y,REAR_COFP_Z,REAR_FREEMOMENT_X,REAR_FREEMOMENT_Y,REAR_FREEMOMENT_Z,LEAD_FORCE_X,LEAD_FORCE_Y,LEAD_FORCE_Z,LEAD_COFP_X,LEAD_COFP_Y,LEAD_COFP_Z,LEAD_FREEMOMENT_X,LEAD_FREEMOMENT_Y,LEAD_FREEMOMENT_Z,REAR_MOMENTUM_X,REAR_MOMENTUM_Y,REAR_MOMENTUM_Z,LEAD_MOMENTUM_X,LEAD_MOMENTUM_Y,LEAD_MOMENTUM_Z,REAR_RESULT,LEAD_RESULT,kh_time,fc_time,mer_time,br_time,mir_time
0.0,-7.584509256768059e-28,-7.980858346846628e-28,2.1272865005075002e-27,,,,-6.556386609278162e-30,3.916527808471947e-32,3.350370380265871e-27,-1.5523212066766922e-121,6.4114142030852215e-121,-4.449707810467158e-121,,,,9.15653609884541e-125,7.119730253917222e-123,-9.241354573763823e-122,0.0,0.0,0.0,0.0,-0.0,0.0,2.3953155661469256e-27,7.957124657233512e-121,1316,2108,2316,2364,2364
0.00083,-5.9204513724331855e-28,-5.9565991070395625e-28,1.7574642094255825e-27,,,,-4.249727128213183e-30,2.614819778410236e-32,2.1714783426769147e-27,-1.7986337979538944e-121,7.741136905751189e-121,-5.99933239739387e-121,,,,1.4393573658758943e-124,1.1191674078538599e-122,-1.4526612862719438e-121,-5.498072046557266e-32,-5.674147991338876e-32,1.5815402852744069e-31,-1.3642240467101815e-125,-5.761715844673935e-125,-4.253961004223343e-125,1.94782150649519e-27,9.95752345451141e-121,1316,2108,2316,2364,2364
0.00167,-2.93355784267818e-28,-2.4959976915961477e-28,1.0323552340905214e-27,,,,-6.585464129794064e-31,5.581651042017513e-33,3.3615736546673848e-28,-1.869521510247983e-121,8.397055833830369e-121,-7.183111738866345e-121,,,,1.921044399108558e-124,1.4936889136290038e-122,-1.938776461768549e-121,-9.146100923367451e-32,-9.156786924312761e-32,2.731001692391912e-31,-2.875577396795519e-125,-1.2410974017236328e-124,-9.685391637245277e-125,1.1018688625612463e-27,1.1207263341547035e-120,1316,2108,2316,2364,2364
0.0025,1.3600818721256067e-28,2.3533031103646155e-28,-5.442032759670599e-29,,,,4.105663750197147e-30,-2.195400302472812e-32,-2.098600280833667e-27,-1.7023099474174501e-121,8.085198563254484e-121,-7.726572359775709e-121,,,,2.2812115885753546e-124,1.7737210326691519e-122,-2.3022446811672506e-121,-9.786686593118962e-32,-9.214880028750836e-32,3.1291336618491417e-31,-4.329723560682982e-125,-1.9121147016105528e-124,-1.5755347679063937e-124,2.772005669855267e-28,1.1312303717421078e-120,1316,2108,2316,2364,2364
0.00333,6.75818349264332e-28,8.33658868643167e-28,-1.4609722677022654e-27,,,,9.735039341392696e-30,-5.473644040273159e-32,-4.975447515900697e-27,-1.2484908026040976e-121,6.557357259350324e-121,-7.361434126644514e-121,,,,2.433274450203452e-124,1.8919417114605095e-122,-2.4556838691983785e-121,-6.481618989141059e-32,-4.8628647298981163e-32,2.5121946054140007e-31,-5.531038808028004e-125,-2.508235112982528e-124,-2.1897901439782905e-124,1.812776190671334e-27,9.937221740097575e-121,1316,2108,2316,2364,2364
0.00417,1.2844260205366973e-27,1.4965053109921517e-27,-3.0884151444717536e-27,,,,1.5708923269430054e-29,-8.97964430150048e-32,-8.028292776238463e-27,-4.847205089346756e-122,3.6593186422787343e-121,-5.864707257004056e-121,,,,2.293450381680649e-124,1.7832080042340292e-122,-2.314540712006089e-121,1.5949798633131426e-32,4.7378777230353233e-32,6.377560038500614e-32,-6.24515653260821e-125,-2.9291825934814485e-124,-2.734733621267379e-124,3.664367128531465e-27,6.929672294406613e-121,1316,2108,2316,2364,2364
0.005,1.8980906021592772e-27,2.1513128511859255e-27,-4.777424951310726e-27,,,,2.1302029886761966e-29,-1.2295440824501518e-31,-1.0886474873423875e-26,5.763607322534326e-122,-6.194239987109509e-122,-3.1032797143011885e-121,,,,1.7932298255614545e-124,1.3942528701893845e-122,-1.8096768747042634e-121,1.455148241180186e-31,1.9588692633986604e-31,-2.5645454867444235e-31,-6.207848423091794e-125,-3.052941264263058e-124,-3.0998338228496724e-124,5.572672974712349e-27,3.2165544871890547e-121,1316,2108,2316,2364,2364
0.00583,2.433171505288058e-27,2.7047867640391514e-27,-6.31214627717562e-27,,,,2.562346672098241e-29,-1.4903583068928953e-31,-1.3094707345873688e-26,1.8770450994136913e-121,-6.100929338490133e-121,9.205391375217774e-122,,,,8.934840782800732e-125,6.946544494390005e-123,-9.016068209316532e-122,3.2184700140536082e-31,3.9358602582510175e-31,-7.079276277429642e-31,-5.209030107932633e-125,-2.7793455993755962e-124,-3.1886964658412275e-124,7.285560077134027e-27,6.449188274673949e-121,1316,2108,2316,2364,2364
0.00667,2.7917419696671887e-27,3.0495956111770854e-27,-7.433121640687371e-27,,,,2.7690491995875614e-29,-1.6228975693214972e-31,-1.4150774103985055e-26,3.3089917442291274e-121,-1.2386743360250756e-120,6.028551099506991e-121,,,,-4.012551754258438e-125,-3.1206122513763674e-123,4.0509122414479356e-122,5.371238864004668e-31,6.3067808844876105e-31,-1.274260156494755e-30,-3.0722792076149194e-125,-2.0176165088420744e-124,-2.9023800498951683e-124,8.505595449006888e-27,1.4167719145842059e-120,1316,2108,2316,2364,2364
0.0075,2.870876341963834e-27,3.075038825186843e-27,-7.860166091339216e-27,,,,2.6537234117913886e-29,-1.5701327462604056e-31,-1.356109156708793e-26,4.713011921239862e-121,-1.8846779570043646e-120,1.1838422869074958e-120,,,,-2.030274578272027e-124,-1.5786847123078317e-122,2.049138955380481e-121,7.676575717944332e-31,8.800211433047911e-31,-1.8968728399971554e-30,1.935988146524888e-126,-7.460529400653939e-125,-2.1749887391732443e-124,8.915155956610794e-27,2.2749985440843707e-120,1316,2108,2316,2364,2364
0.00833,2.5754283545944462e-27,2.681394855322583e-27,-7.325008006891486e-27,,,,2.1353815443677208e-29,-1.283574259834958e-31,-1.091180769556507e-26,5.8858460151091315e-121,-2.463699571343094e-120,1.7755261848191387e-120,,,,-3.868183328329893e-124,-3.007717716685287e-122,3.90398447790673e-121,9.893848054483657e-31,1.1143741930888509e-30,-2.5150840552972753e-30,4.508552863409214e-125,1.024236777387784e-124,-9.70185443806254e-125,8.214526881131004e-27,3.093338106956676e-120,1316,2108,2316,2364,2364
0.00917,1.833578513180331e-27,1.7970672129026247e-27,-5.6121077392909814e-27,,,,1.164573043022789e-29,-7.325734558904215e-32,-5.950250471042462e-27,6.595097865089499e-121,-2.875208713276086e-120,2.299015339144779e-120,,,,-5.72283440746559e-124,-4.449757163086628e-122,5.775705116271281e-121,1.1710447064144218e-30,1.2988957872238657e-30,-3.0481190982714847e-30,9.650951360928646e-125,3.2239737688165752e-124,7.086071548973568e-125,6.171483938980635e-27,3.7399531859400044e-120,1316,2108,2316,2364,2364
0.01,6.138269784367414e-28,3.969916138745902e-28,-2.6044524500830522e-27,,,,-2.6025396847156866e-30,8.605045519677478e-33,1.3314603281669307e-27,6.602710735294093e-121,-3.01164307926327e-120,2.661120750178342e-120,,,,-7.341884053097657e-124,-5.708595854035603e-122,7.409628207706429e-121,1.2706822550863903e-30,1.3882192131502064e-30,-3.382627588421186e-30,1.5023977209273818e-124,5.620599436336238e-124,2.7279529589021417e-124,2.7050986055386494e-27,4.0727773784536485e-120,1316,2108,2316,2364,2364
0.01084,-1.0584909386398222e-27,-1.4798704712156711e-27,1.6705294298477845e-27,,,,-2.0781105925938398e-29,1.1392958541510767e-31,1.06215900376683e-26,5.696299642167199e-121,-2.77121796808481e-120,2.7629822375282366e-120,,,,-8.429680932105802e-124,-6.554354832029838e-122,8.507376845568445e-121,1.252361210598103e-30,1.3436024384700391e-30,-3.421107084700919e-30,2.0091415464995422e-124,8.003253845064596e-124,4.962791871897008e-124,2.4700381079542616e-27,3.9545161736508535e-120,1316,2108,2316,2364,2364
0.01167,-3.0876024558161766e-27,-3.716654762737075e-27,7.001270044258032e-27,,,,-4.155094310836048e-29,2.3516607667849004e-31,2.1235785656665798e-26,3.7263580501073123e-121,-2.0737920204029843e-120,2.5120800290372443e-120,,,,-8.675252385973066e-124,-6.745244041984376e-122,8.755114901484095e-121,1.0835675293697079e-30,1.1320441014079722e-30,-3.0680651204108608e-30,2.3927520751385756e-124,9.975730086527803e-124,7.110348846549812e-124,8.506738140037175e-27,3.2787218331768936e-120,1316,2108,2316,2364,2364
0.0125,-5.299373314537826e-27,-6.111348716988469e-27,1.296596183025678e-26,,,,-6.281010783293861e-29,3.6028201516320483e-31,3.209981971112777e-26,6.459447474110339e-122,-8.785079628001245e-121,1.8369842367055612e-120,,,,-7.79084620285299e-124,-6.057530153428925e-122,7.86244465324514e-121,7.421211652949406e-31,7.319313377431253e-31,-2.25516915995155e-30,2.570755080479744e-124,1.1177655694189538e-123,8.880918145097697e-124,1.528228081312302e-26,2.037267722410341e-120,1316,2108,2316,2364,2364
0.01334,-7.441872042184934e-27,-8.379180575740358e-27,1.8927772859384112e-26,,,,-8.175565853961655e-29,4.730824099546658e-31,4.1781243044811127e-26,-3.4519097862822615e-121,7.987051884453815e-121,7.036199349793042e-121,,,,-5.558858378739254e-124,-4.3220245770847735e-122,5.609767334773907e-121,2.171563741072502e-31,1.34892549824113e-31,-9.410835032689678e-31,2.455143708948172e-124,1.1210536033279179e-123,9.927697875915293e-124,2.1996652291418258e-26,1.119003039618823e-120,1316,2108,2316,2364,2364
0.01417,-9.196900777397966e-27,-1.0167213212241527e-26,2.4058461918739668e-26,,,,-9.506150917341391e-29,5.542035960561634e-31,4.858028480655517e-26,-8.304955607720428e-121,2.8702391276586215e-120,-8.687529199597417e-121,,,,-1.883160082843122e-124,-1.4639917435631073e-122,1.900082932956039e-121,-4.602330255371997e-31,-6.201589608753124e-31,8.089505939006205e-31,1.9765040834602308e-124,9.716853768028497e-124,9.860469760734982e-124,2.769051820222816e-26,3.1117080779441976e-120,1316,2108,2316,2364,2364
0.015,-1.0204195471058097e-26,-1.1082793450400366e-26,2.739566984920325e-26,,,,-9.918245247619835e-29,5.828461212041156e-31,5.0685229451869803e-26,-1.3467150415077362e-120,5.167375171187203e-120,-2.7941482932374318e-120,,,,3.1609742645779583e-124,2.4580306249709416e-122,-3.1906224188901636e-121,-1.250080755456218e-30,-1.4852786071214569e-30,2.9037254793712266e-30,1.0901289891130993e-124,6.444620422753882e-124,8.369247733324216e-124,3.1264622856550563e-26,6.026829369363862e-120,1316,2108,2316,2364,2364
0.01584,-1.0098752908118618e-26,-1.0736081858217794e-26,2.793607935197976e-26,,,,-9.078016224674735e-29,5.3922882236273855e-31,4.639012771056716e-26,-1.8315203905213496e-120,7.439269003280209e-120,-4.9116897162319446e-120,,,,9.285688100035895e-124,7.220214384277523e-122,-9.371819563183965e-121,-2.086602834575058e-30,-2.384259907587143e-30,5.18350420995837e-30,-2.1936757359152547e-125,1.2504308899898161e-124,5.194288356662642e-124,3.1585958803330595e-26,9.100653059676532e-120,1316,2108,2316,2364,2364
